         N, n_proc_tot, comm_total, compute_total
OpenBLAS 50000  256   14.673578716000 56.105571511000
cuBLAS   50000  256   20.232117187500  1.837327636719
OpenBLAS 50000  128   23.139381932000 103.498792162000
cuBLAS   50000  128   25.546048828125  3.017650634766
OpenBLAS 50000  64   19.654266213000 203.449021581000
cuBLAS   50000  128   23.967097656250  3.357398925781
OpenBLAS 40000  32    8.559477840000 209.239248649000
cuBLAS   100  6    0.260909423828  0.009989088058
cuBLAS   100  4    0.165337814331  0.000267359972
cuBLAS   30000  4    2.126316894531  1.899019287109
OpenBLAS 50000  32   10.626507337000 423.055193788000
cuBLAS   3000  4    0.171509689331  0.002736351967
cuBLAS   30000  4    3.102756347656  1.895836059570
cuBLAS   35000  4    4.077554687500  2.845848144531
cuBLAS   50000  4    7.766503906250 10.020113281250
